Nombre Reactor;Pais;Ciudad;Tipo;Potencia Térmica (KW);Estado;Fecha Primera Reacción
EL 4;France;Carhaix-Plouguer;HEAVY WATER;267000;UNDER DECOMMISSIONING;1966-12-01T00:00:00
Siloe;France;Grenoble;POOL;35000;DECOMMISSIONED;1963-03-18T00:00:00
Nereide;France;Fontenay-aux-Roses;POOL;500;DECOMMISSIONED;1960-09-15T00:00:00
Marius;France;Saint-Paul-les-Durance;CRIT ASSEMBLY;0.4;DECOMMISSIONED;1960-01-01T00:00:00
Triton;France;Fontenay-aux-Roses;POOL;6500;DECOMMISSIONED;1959-06-29T00:00:00
Melusine;France;Grenoble;POOL;8000;DECOMMISSIONED;1958-07-01T00:00:00
EL 3;France;Saclay;HEAVY WATER;18000;DECOMMISSIONED;1957-01-01T00:00:00
Proserpine;France;Gif-sur-Yvette;HOMOG (L);0.001;DECOMMISSIONED;1958-03-17T00:00:00
Alecto;France;Gif-sur-Yvette;HOMOG (L);0.001;DECOMMISSIONED;1961-01-01T00:00:00
Peggy;France;Saint-Paul-les-Durance;CRIT ASSEMBLY;1;DECOMMISSIONED;1961-06-01T00:00:00
Alizee;France;Gif-sur-Yvette;CRIT ASSEMBLY;0.1;PERMANENT SHUTDOWN;1959-06-18T00:00:00
SCA;Finland;Helsinki;SUBCRIT;0;DECOMMISSIONED;1963-07-30T00:00:00
CORAL-I;Spain;Madrid;CRIT ASSEMBLY;0.05;DECOMMISSIONED;1968-03-28T00:00:00
ARBI Reactor;Spain;Bilbao;ARGONAUT;10;DECOMMISSIONED;1962-06-26T00:00:00
Argos Research Reactor;Spain;Barcelona;ARGONAUT;1;DECOMMISSIONED;1961-06-01T00:00:00
JEN-1 Mod;Spain;Madrid;POOL;3000;DECOMMISSIONED;1958-10-09T00:00:00
DR-3;Denmark;Roskilde;HEAVY WATER;10000;UNDER DECOMMISSIONING;1960-01-16T00:00:00
DR-2;Denmark;Roskilde;POOL;5000;DECOMMISSIONED;1958-12-18T00:00:00
DR-1;Denmark;Roskilde;HOMOG (L);2;DECOMMISSIONED;1957-08-15T00:00:00
ANEX;Germany;Munich;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1964-05-01T00:00:00
AKR-2;Germany;Dresden;HOMOG (S);0.002;OPERATIONAL;1978-07-28T00:00:00
SUR Furtwangen;Germany;Furtwangen im Schwarzwald;HOMOG (S);0;OPERATIONAL;1973-03-28T00:00:00
AEG Nullenergie Reaktor;Germany;Karlstein am Main;TANK;0.1;DECOMMISSIONED;1967-06-01T00:00:00
ADIBKA (L77A);Germany;Jülich;HOMOG (L);0.1;DECOMMISSIONED;1967-03-18T00:00:00
SUR Ulm;Germany;Ulm;HOMOG (S);0;OPERATIONAL;1965-12-01T00:00:00
SUR Aachen;Germany;Aachen;HOMOG (S);0;PERMANENT SHUTDOWN;1965-09-22T00:00:00
SUR Stuttgart;Germany;Stuttgart;HOMOG (S);0;OPERATIONAL;1964-04-24T00:00:00
SR-0;Czech Republic;Plzen;POOL;1;DECOMMISSIONED;1971-01-01T00:00:00
TR-0;Czech Republic;Prague;TANK;0.3;DECOMMISSIONED;1972-01-01T00:00:00
IAN-R1;Colombia;Bogota;TRIGA CONV;30;OPERATIONAL;1965-01-20T00:00:00
CMRR (China Mianyang Research Reactor);China;Mianyang;POOL;20000;OPERATIONAL;2013-09-01T00:00:00
HTR-10;China;Beijing;HIGH TEMP GAS;10000;OPERATIONAL;2000-12-21T00:00:00
MJTR;China;Chengdu;POOL;5000;OPERATIONAL;1991-03-02T00:00:00
ESR-901;China;Beijing;POOL-2 CORES;1000;OPERATIONAL;1964-10-01T00:00:00
NHR-5;China;Beijing;HEATING PROT;5000;OPERATIONAL;1989-11-03T00:00:00
SPRR-300;China;Chengdu;POOL;3000;OPERATIONAL;1979-06-28T00:00:00
HFETR Critical;China;Chengdu;CRIT ASSEMBLY;0;OPERATIONAL;1979-06-20T00:00:00
PPR PULSING;China;Chengdu;POOL, UZRH;1000;OPERATIONAL;1990-08-01T00:00:00
HFETR;China;Chengdu;TANK;125000;OPERATIONAL;1979-12-27T00:00:00
Zero Power Reactor;China;Chengdu;CRIT ASSEMBLY;0;PERMANENT SHUTDOWN;1966-01-01T00:00:00
PROTEUS;Switzerland;Villigen;CRIT ASSEMBLY;1;UNDER DECOMMISSIONING;1968-01-01T00:00:00
DIORIT;Switzerland;Zurich;HEAVY WATER;30000;UNDER DECOMMISSIONING;1960-10-10T00:00:00
AGN-201P;Switzerland;Geneva;HOMOG (S);0;DECOMMISSIONED;1958-06-01T00:00:00
SAPHIR;Switzerland;Würenlingen;POOL;10000;DECOMMISSIONED;1957-04-30T00:00:00
ZED-2;Canada;Chalk River, ON;TANK;0.2;OPERATIONAL;1960-09-07T00:00:00
MNR McMaster University;Canada;Hamilton, ON;POOL, MTR;3000;OPERATIONAL;1959-04-04T00:00:00
BR-3;Belgium;Mol;PWR POWER;40900;DECOMMISSIONED;1962-08-29T00:00:00
BR-02, Mock-up of BR2;Belgium;Mol;POOL;0.5;DECOMMISSIONED;1959-12-01T00:00:00
THETIS RR-BN-1;Belgium;Ghent;POOL;250;DECOMMISSIONED;1967-04-07T00:00:00
CF;Australia;Sydney;CRIT ASSEMBLY;0;DECOMMISSIONED;1973-03-01T00:00:00
HIFAR;Australia;Sydney;HEAVY WATER;10000;PERMANENT SHUTDOWN;1958-01-26T00:00:00
MOATA;Australia;Lucas Heights, NSW;ARGONAUT;100;DECOMMISSIONED;1961-04-01T00:00:00
RA-2;Argentina;Buenos Aires;CRIT ASSEMBLY;0.03;DECOMMISSIONED;1966-07-01T00:00:00
RA-8;Argentina;San Carlos de Bariloche;CRIT ASSEMBLY;0.01;TEMPORARY SHUTDOWN;1997-06-17T00:00:00
RA-1 Enrico Fermi Reactor;Argentina;Buenos Aires;TANK;40;OPERATIONAL;1958-01-20T00:00:00
RV-1;Venezuela, Bolivarian Republic of;San Antonio de los Altos;POOL;3000;PERMANENT SHUTDOWN;1960-07-12T00:00:00
TRICO I;Democratic Republic of the Congo;Kinshasa;TRIGA MARK I;50;PERMANENT SHUTDOWN;1959-06-06T00:00:00
ECO (Orgel Critical Experiment);Italy;Ispra;CRIT FAST;2;UNDER DECOMMISSIONING;1965-11-01T00:00:00
ESSOR Nuclear Plant;Italy;Ispra;HEAVY WATER;43000;UNDER DECOMMISSIONING;1967-03-19T00:00:00
Kristal;Belarus;Minsk;CRIT ASSEMBLY;0;EXTENDED SHUTDOWN;NA
Multipurpose Research Reactor;Nigeria;Abuja;POOL;10000;PLANNED;NA
PARR-1;Pakistan;Islamabad;POOL;10000;OPERATIONAL;1965-12-21T00:00:00
Thermal RR;India;Visakhapatnam;POOL;125000;PLANNED;NA
GA-TRIGA F;United States of America;San Diego, CA;TRIGA MARK I;250;UNDER DECOMMISSIONING;1960-07-01T00:00:00
GA-TRIGA I;United States of America;San Diego, CA;TRIGA MARK I;250;UNDER DECOMMISSIONING;1958-05-03T00:00:00
RNG New Generation Reactor;France;Saint-Paul-les-Durance;BWR-PROTOTYPE;120000;PERMANENT SHUTDOWN;1975-11-24T00:00:00
UCNR Union Carbide;United States of America;Tuxedo, NY;POOL;5000;DECOMMISSIONED;1961-01-01T00:00:00
UWI CNS SLOWPOKE;Jamaica;Mona;SLOWPOKE;20;OPERATIONAL;1984-03-13T00:00:00
SAFARI-1;South Africa;Pretoria;TANK IN POOL;20000;OPERATIONAL;1965-03-18T00:00:00
IVG.1M;Kazakhstan;Kurchatov;PWR;35000;OPERATIONAL;1972-09-19T00:00:00
TMSR-SF1;China;Shanghai;EXPERIMENTAL;10000;PLANNED;NA
TMSR-LF1;China;Shanghai;EXPERIMENTAL;2000;PLANNED;NA
IEA-R1;Brazil;Sao Paulo;POOL;5000;OPERATIONAL;1957-09-16T00:00:00
SUT MNSR;Thailand;Nakorn Ratchasima;MNSR;45;PLANNED;NA
LR-0;Czech Republic;Husinec-Rez;POOL - VARIABLE CORE;5;OPERATIONAL;1982-12-19T00:00:00
MIR.M1;Russian Federation;Dimitrovgrad;POOL/CHANNELS;100000;OPERATIONAL;1966-12-24T00:00:00
IR-8;Russian Federation;Moscow;POOL, IRT;8000;OPERATIONAL;1981-08-12T00:00:00
UVPSh;Russian Federation;Moscow;SUBCRIT;0;OPERATIONAL;1964-03-18T00:00:00
UG Subcritical;Russian Federation;Moscow;SUBCRIT;0;OPERATIONAL;1955-04-20T00:00:00
UV;Russian Federation;Moscow;SUBCRIT;0;OPERATIONAL;1980-12-04T00:00:00
PHENIX;France;Marcoule;FAST BREEDER;563000;UNDER DECOMMISSIONING;1973-08-31T00:00:00
